2023-10-04 15:11:58,739 p=3577 u=debian n=ansible | PLAY [local gen] ***************************************************************************************************************************************************************************************************************************
2023-10-04 15:11:58,807 p=3577 u=debian n=ansible | TASK [Gathering Facts] *********************************************************************************************************************************************************************************************************************
2023-10-04 15:12:01,005 p=3577 u=debian n=ansible | ok: [localhost]
2023-10-04 15:12:01,031 p=3577 u=debian n=ansible | TASK [Ensure a locale exists] **************************************************************************************************************************************************************************************************************
2023-10-04 15:12:06,509 p=3577 u=debian n=ansible | changed: [localhost]
2023-10-04 15:12:06,545 p=3577 u=debian n=ansible | PLAY RECAP *********************************************************************************************************************************************************************************************************************************
2023-10-04 15:12:06,546 p=3577 u=debian n=ansible | localhost                  : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:47:03,733 p=4329 u=debian n=ansible | PLAY [local gen] ******************************************************************************************************************************************
2023-10-05 13:47:03,779 p=4329 u=debian n=ansible | TASK [Gathering Facts] ************************************************************************************************************************************
2023-10-05 13:47:05,523 p=4329 u=debian n=ansible | ok: [10.0.0.2]
2023-10-05 13:47:05,669 p=4329 u=debian n=ansible | ok: [10.0.0.6]
2023-10-05 13:47:05,733 p=4329 u=debian n=ansible | ok: [10.0.0.4]
2023-10-05 13:47:05,768 p=4329 u=debian n=ansible | ok: [10.0.0.3]
2023-10-05 13:47:05,785 p=4329 u=debian n=ansible | ok: [localhost]
2023-10-05 13:47:05,899 p=4329 u=debian n=ansible | TASK [Ensure a locale exists] *****************************************************************************************************************************
2023-10-05 13:47:06,688 p=4329 u=debian n=ansible | ok: [localhost]
2023-10-05 13:47:10,476 p=4329 u=debian n=ansible | changed: [10.0.0.3]
2023-10-05 13:47:10,828 p=4329 u=debian n=ansible | changed: [10.0.0.4]
2023-10-05 13:47:10,928 p=4329 u=debian n=ansible | changed: [10.0.0.2]
2023-10-05 13:47:11,402 p=4329 u=debian n=ansible | changed: [10.0.0.6]
2023-10-05 13:47:11,558 p=4329 u=debian n=ansible | PLAY RECAP ************************************************************************************************************************************************
2023-10-05 13:47:11,559 p=4329 u=debian n=ansible | 10.0.0.2                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:47:11,560 p=4329 u=debian n=ansible | 10.0.0.3                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:47:11,560 p=4329 u=debian n=ansible | 10.0.0.4                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:47:11,561 p=4329 u=debian n=ansible | 10.0.0.6                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:47:11,562 p=4329 u=debian n=ansible | localhost                  : ok=2    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:53:22,892 p=4519 u=debian n=ansible | PLAY [on ip forward] **************************************************************************************************************************************
2023-10-05 13:53:22,957 p=4519 u=debian n=ansible | TASK [Gathering Facts] ************************************************************************************************************************************
2023-10-05 13:53:26,535 p=4519 u=debian n=ansible | ok: [10.0.0.3]
2023-10-05 13:53:26,552 p=4519 u=debian n=ansible | ok: [10.0.0.6]
2023-10-05 13:53:26,685 p=4519 u=debian n=ansible | ok: [10.0.0.4]
2023-10-05 13:53:26,721 p=4519 u=debian n=ansible | ok: [10.0.0.2]
2023-10-05 13:53:26,806 p=4519 u=debian n=ansible | TASK [Add net.ipv4.ip_forward = 1] ************************************************************************************************************************
2023-10-05 13:53:27,775 p=4519 u=debian n=ansible | changed: [10.0.0.3]
2023-10-05 13:53:27,806 p=4519 u=debian n=ansible | changed: [10.0.0.6]
2023-10-05 13:53:27,825 p=4519 u=debian n=ansible | changed: [10.0.0.2]
2023-10-05 13:53:27,831 p=4519 u=debian n=ansible | changed: [10.0.0.4]
2023-10-05 13:53:27,980 p=4519 u=debian n=ansible | PLAY RECAP ************************************************************************************************************************************************
2023-10-05 13:53:27,981 p=4519 u=debian n=ansible | 10.0.0.2                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:53:27,982 p=4519 u=debian n=ansible | 10.0.0.3                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:53:27,982 p=4519 u=debian n=ansible | 10.0.0.4                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-10-05 13:53:27,983 p=4519 u=debian n=ansible | 10.0.0.6                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
